Gene	S21
BnaA01g04520D--BnaC03g67280D	1
BnaA01g04530D	1
BnaA01g04540D	169
BnaA01g04540D--BnaA08g12190D	1
BnaA01g04540D--BnaA08g12190D--BnaC03g67290D	1
BnaA01g04550D	21
BnaA01g04560D	3
BnaA01g04570D	30
BnaA01g04580D	6
BnaA01g04590D	95
BnaA01g04600D	659
BnaA01g04600D--BnaA03g52020D	12
BnaA01g04610D	21
BnaA01g04620D	573
BnaA01g04640D	35
BnaA01g04650D	24
BnaA01g04660D	277
BnaA01g04660D--BnaA08g12240D	2
BnaA01g04670D	55
BnaA01g04680D	8
BnaA01g04700D	598
BnaA01g04720D	28
BnaA01g04730D	1267
BnaA01g04740D	1322
BnaA01g04750D	146
BnaA01g04750D--BnaC02g17910D	4
BnaA01g04750D--BnaC02g17910D--BnaC02g46090D	1
BnaA01g04750D--BnaC02g17920D	1
BnaA01g04750D--BnaC02g17930D	1
BnaA01g04750D--BnaC02g17930D--BnaC02g46080D	1
BnaA01g04750D--BnaC02g46090D	2
BnaA01g04760D	160
BnaA01g04760D--BnaA08g30620D	22
BnaA01g04770D	215
BnaA01g04770D--BnaA03g51930D	1
BnaA01g04780D	94
BnaA01g04780D--BnaA08g30600D	4
BnaA01g04790D	113
BnaA01g04800D	32
BnaA01g04840D	179
BnaA01g04850D	214
BnaA01g04860D	42
BnaA01g04870D	203
BnaA01g04880D	75
BnaA01g04890D	376
BnaA01g04900D	1
BnaA01g04910D	319
BnaA01g04910D--BnaA03g51850D	4
BnaA01g04920D	115
BnaA01g04930D	2
BnaA01g04950D--BnaA02g02380D	2
BnaA01g04950D--BnaA03g13990D--BnaA02g02380D	18
BnaA01g04970D	23
BnaA01g04980D	163
BnaA01g04980D--BnaA03g51800D	1
BnaA01g04980D--BnaC01g40770D	23
BnaA01g05000D	2
BnaA01g05010D	13
BnaA01g05020D	27
BnaA01g05040D	33
BnaA01g05060D	162
BnaA01g05070D	59
BnaA01g05070D--BnaC08g14220D	1
BnaA01g05080D	55
BnaA01g05080D--BnaA03g51720D--BnaCnng51890D	1
BnaA01g05080D--BnaA08g07530D	37
BnaA01g05090D	142
BnaA01g05090D--BnaA08g12370D	6
BnaA01g05100D	60
BnaA01g05110D	153
BnaA01g05110D--BnaA08g12390D	6
BnaA01g05120D	108
BnaA01g05130D	131
BnaA01g05130D--BnaA02g00470D--BnaC09g46300D--BnaA09g17440D--BnaC02g00390D--BnaC03g77310D	1
BnaA01g05130D--BnaA03g02870D--BnaC03g04230D	2
BnaA01g05130D--BnaA09g17440D--BnaC03g77310D	17
BnaA01g05130D--BnaA09g17440D--BnaC03g77310D--BnaA08g30710D	29
BnaA01g05130D--BnaC03g04230D	1
BnaA01g05130D--BnaC03g04230D--BnaC09g46300D--BnaC03g77310D	11
BnaA01g05130D--BnaC03g77310D	12
BnaA01g05130D--BnaC09g46300D	10
BnaA01g05130D--BnaC09g46300D--BnaA09g17440D--BnaC03g77310D	5
BnaA01g05140D	35
BnaA01g05170D	1
BnaA01g05170D--BnaCnng52390D	8
BnaA01g05180D	125
BnaA01g05190D	28
BnaA01g05190D--BnaC01g00010D	14
BnaA01g05210D	6
BnaA01g05210D--BnaC01g00030D	7
BnaA01g05220D	113
BnaA01g05220D--BnaC01g00040D	43
BnaA01g05230D	38
BnaA01g05230D--BnaC01g00050D	31
BnaA01g05240D	33
BnaA01g05240D--BnaC01g00060D	16
BnaA01g05270D	1
BnaA01g05270D--BnaC01g00110D	3
BnaA01g05280D	85
BnaA01g05280D--BnaC01g00120D	186
BnaA01g05300D	359
BnaA01g05300D--BnaC01g00150D	752
BnaA01g05320D	1110
BnaA01g05320D--BnaC01g00170D	77
BnaA01g05320D--BnaCnng71840D	2
BnaA01g05340D	3
BnaA01g05340D--BnaC01g00190D	1
BnaA01g05340D--BnaC01g00200D	2
BnaA01g05360D	2
BnaA01g05360D--BnaC01g00220D	1
BnaA01g05370D	232
BnaA01g05370D--BnaC01g00230D	21
BnaA01g05380D	503
BnaA01g05380D--BnaC01g00240D	384
BnaA01g05390D	64
BnaA01g05400D--BnaC01g00270D	5
BnaA01g05410D	410
BnaA01g05410D--BnaC01g00280D	63
BnaA01g05420D	5
BnaA01g05420D--BnaC01g00290D	2
BnaA01g05430D	2
BnaA01g05450D	38
BnaA01g05450D--BnaC01g00330D	25
BnaA01g05480D	40
BnaA01g05480D--BnaC01g00350D	41
BnaA01g05480D--BnaC01g00350D--BnaA07g01740D	3
BnaA01g05490D	167
BnaA01g05490D--BnaC01g40650D	10
BnaA01g05490D--BnaC01g40660D	23
BnaA01g05500D	31
BnaA01g05510D	182
BnaA01g05510D--BnaC01g00370D	421
BnaA01g05520D	2
BnaA01g05530D	361
BnaA01g05530D--BnaC01g00410D	67
BnaA01g05530D--BnaC01g00410D--BnaC06g43280D	17
BnaA01g05540D	86
BnaA01g05540D--BnaC01g00420D	26
BnaA01g05550D	14
BnaA01g05550D--BnaC01g00430D	1
BnaA01g05560D	35
BnaA01g05560D--BnaC01g00440D	6
BnaA01g05570D	4
BnaA01g05570D--BnaC01g00450D	5
BnaA01g05610D	199
BnaA01g05610D--BnaA06g40470D--BnaA06g40510D	10
BnaA01g05610D--BnaA06g40510D	17
